GM_COUNTY_NAME,GM_DATASET_NAME,GM_WELL_CATEGORY,GM_DATA_SOURCE,GM_WELL_ID,GM_CHEMICAL_VVL,GM_CHEMICAL_NAME,GM_RESULT_MODIFIER,GM_RESULT,GM_CHEMICAL_UNITS,GM_REPORTING_LIMIT,GM_SAMP_COLLECTION_DATE,GM_LATITUDE,GM_LONGITUDE,GM_WELL_DEPTH_FT,GM_TOP_DEPTH_OF_SCREEN_FT,GM_BOTTOM_DEPTH_OF_SCREEN_FT,GM_CAS_NUMBER,GM_ALTWELL_ID1,GM_ALTWELL_ID2,GM_ALTWELL_ID3,SRC_CHEMICAL,SRC_RESULT_MODIFIER,SRC_RESULT,SRC_CHEMICAL_UNITS,SRC_REPORTING_LIMIT,SRC_SAMP_COLLECTION_DATE,SRC_SAMP_COLLECTION_TIME,SRC_ANALYSIS_DATE,SRC_ANALYTICAL_METHOD,SRC_LAB_NOTE,SRC_LATITUDE,SRC_LONGITUDE,SRC_DATUM,SRC_WELL_DEPTH_FT,SRC_TOP_DEPTH_OF_SCREEN_FT,SRC_BOTTOM_DEPTH_OF_SCREEN_FT,SRC_WELL_CATEGORY,source_file
SONOMA,DDW,Municipal,DDW,CA4910020_001_001,NNSM,N-Nitrosodimethylamine (NDMA),<,0,UG/L,0,08/24/2010,38.496714,-122.896529,NA,NA,NA,NA,4910020-001,NA,NA,34438,<,0,UG/L,0,08/24/2010,1200,08/31/2010,NA,9588,38.496714,-122.896529,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910009_005_005,NNSM,N-Nitrosodimethylamine (NDMA),<,0.002,UG/L,0,12/11/2007,34.106225,-117.964011,NA,300,584,NA,1910009-005,NA,NA,34438,<,0.002,UG/L,0,12/11/2007,0813,12/12/2007,NA,9588,34.106225,-117.964011,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910009_006_006,NNSM,N-Nitrosodimethylamine (NDMA),<,0.002,UG/L,0,04/19/2006,34.106208,-117.964528,NA,300,584,NA,1910009-006,NA,NA,34438,<,0.002,UG/L,0,04/19/2006,0802,04/19/2006,NA,9588,34.106208,-117.964528,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910029_006_006,NNSM,N-Nitrosodimethylamine (NDMA),=,0.11,UG/L,0,03/05/2002,34.050215,-118.005417,NA,310,456,NA,1910029-006,NA,NA,34438,NA,0.11,UG/L,0,03/05/2002,0920,03/14/2002,NA,9588,34.050215,-118.005417,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910039_022_022,NNSM,N-Nitrosodimethylamine (NDMA),<,0,UG/L,0,11/02/2005,34.055753,-118.002602,NA,110,237,NA,1910039-022,NA,NA,34438,<,0,UG/L,0,11/02/2005,1120,11/10/2005,NA,4460,34.055753,-118.002602,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910039_026_026,NNSM,N-Nitrosodimethylamine (NDMA),=,0.1,UG/L,0,04/06/2006,34.067912,-117.97046,NA,275,408,NA,1910039-026,NA,NA,34438,NA,0.1,UG/L,0,04/06/2006,0955,04/06/2006,NA,9590,34.067912,-117.97046,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910060_003_003,NNSM,N-Nitrosodimethylamine (NDMA),=,0.31,UG/L,0,05/20/2002,34.066134,-117.96683,NA,620,770,NA,1910060-003,NA,NA,34438,NA,0.31,UG/L,0,05/20/2002,1000,05/22/2002,NA,9588,34.066134,-117.96683,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910060_003_003,NNSM,N-Nitrosodimethylamine (NDMA),=,0.11,UG/L,0,09/17/2002,34.066134,-117.96683,NA,620,770,NA,1910060-003,NA,NA,34438,NA,0.11,UG/L,0,09/17/2002,0955,09/23/2002,NA,9588,34.066134,-117.96683,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910060_003_003,NNSM,N-Nitrosodimethylamine (NDMA),=,0.3,UG/L,0,06/03/2003,34.066134,-117.96683,NA,620,770,NA,1910060-003,NA,NA,34438,NA,0.3,UG/L,0,06/03/2003,0915,06/16/2003,NA,9588,34.066134,-117.96683,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910060_002_002,NNSM,N-Nitrosodimethylamine (NDMA),=,0.14,UG/L,0,02/14/2007,34.066637,-117.967712,NA,576,726,NA,1910060-002,NA,NA,34438,NA,0.14,UG/L,0,02/14/2007,1025,02/14/2007,NA,9590,34.066637,-117.967712,NA,NA,NA,NA,NA,p9.txt
